unique_id,ds,CES,CES-lo-95,CES-hi-95
42,2024-09-13,34054.195,20265.137,47640.926
42,2024-09-14,33328.664,19562.305,47126.78
42,2024-09-15,26540.023,12175.713,40679.12
42,2024-09-16,30750.945,16842.135,44096.254
42,2024-09-17,34672.805,20712.549,47875.33
42,2024-09-18,33765.6,19950.74,47360.004
42,2024-09-19,35534.473,21889.117,49283.855
42,2024-09-20,33152.51,19489.23,47082.297
42,2024-09-21,32820.84,19000.86,45957.062
42,2024-09-22,24942.863,11243.217,39062.8
42,2024-09-23,28734.986,14586.242,42193.637
42,2024-09-24,32972.07,18804.361,46406.375
42,2024-09-25,34620.402,20840.09,48640.996
42,2024-09-26,36378.0,22439.062,50471.63
42,2024-09-27,33377.887,20127.12,47006.973
42,2024-09-28,32003.314,18173.254,45624.254
42,2024-09-29,25313.924,11974.79,39243.867
42,2024-09-30,31155.342,17637.676,45297.67
42,2024-10-01,34983.363,21573.432,48713.07
42,2024-10-02,33738.875,19960.76,47138.93
42,2024-10-03,35886.27,21757.975,49479.527
42,2024-10-04,34349.914,20416.203,48186.81
42,2024-10-05,31824.879,18059.248,45466.305
42,2024-10-06,24898.979,11276.6,38736.316
42,2024-10-07,30090.121,16627.334,43829.26
42,2024-10-08,30450.617,16493.52,43970.54
42,2024-10-09,35913.4,21950.613,49456.08
42,2024-10-10,34581.332,21132.646,48254.38
42,2024-10-11,33906.594,19843.156,47886.086
42,2024-10-12,32828.5,18975.154,46657.38
42,2024-10-13,24764.674,10903.018,38433.465
42,2024-10-14,29744.006,15586.34,43060.906
42,2024-10-15,34524.293,20830.412,48573.477
42,2024-10-16,33658.46,19927.518,47029.71
42,2024-10-17,35394.773,21341.865,49320.562
42,2024-10-18,33041.35,19725.348,46281.562
42,2024-10-19,31506.387,17582.035,45714.1
42,2024-10-20,25183.418,11643.799,38862.28
42,2024-10-21,29958.883,16194.102,43744.06
42,2024-10-22,34499.082,20681.203,47935.496
42,2024-10-23,33051.863,19656.098,46488.316
42,2024-10-24,34619.547,20962.775,48423.44
42,2024-10-25,32515.113,19235.994,45718.406
42,2024-10-26,32195.52,18666.438,45996.582
42,2024-10-27,26717.363,12904.983,40247.746
42,2024-10-28,29308.855,15489.85,42856.92
42,2024-10-29,33734.54,20004.723,47423.457
42,2024-10-30,32448.541,18848.377,46453.18
42,2024-10-31,34192.508,20753.844,47831.79
42,2024-11-01,32155.81,18595.863,45379.387
42,2024-11-02,32367.938,18558.55,45935.375
42,2024-11-03,26099.441,12327.521,39742.742
42,2024-11-04,28169.605,14391.502,41577.965
42,2024-11-05,34947.227,21391.373,48335.75
42,2024-11-06,31511.172,17696.738,44967.625
42,2024-11-07,35388.656,21753.076,48981.117
42,2024-11-08,32783.945,19382.848,45904.98
42,2024-11-09,28546.441,14352.869,42300.508
42,2024-11-10,27147.7,13474.397,40563.11
42,2024-11-11,29647.111,16199.168,43647.92
