unique_id,ds,CES,CES-lo-95,CES-hi-95
42,2024-09-13,212450.61,106188.984,325144.75
42,2024-09-14,216559.64,109306.13,326887.97
42,2024-09-15,146719.5,41082.75,256091.22
42,2024-09-16,213253.19,106181.88,325012.7
42,2024-09-17,270038.84,160076.67,379298.5
42,2024-09-18,226017.4,117862.26,334894.78
42,2024-09-19,246079.2,133842.11,352540.2
42,2024-09-20,209557.94,102469.14,317818.25
42,2024-09-21,218328.38,108744.836,330134.66
42,2024-09-22,127014.3,19707.664,234265.94
42,2024-09-23,195144.31,86779.73,303962.97
42,2024-09-24,262406.28,156224.4,371408.22
42,2024-09-25,231994.95,130100.62,340203.66
42,2024-09-26,242552.06,137709.02,351190.38
42,2024-09-27,204464.25,100295.1,312211.03
42,2024-09-28,186566.7,82213.15,293290.94
42,2024-09-29,143839.12,37803.156,248822.58
42,2024-09-30,219241.75,114357.25,323895.72
42,2024-10-01,279720.72,174767.25,391080.9
42,2024-10-02,222203.1,116051.93,329149.34
42,2024-10-03,243678.9,136464.48,350687.06
42,2024-10-04,217662.28,110887.1,325377.1
42,2024-10-05,195104.69,93855.336,301362.97
42,2024-10-06,115704.26,11474.238,221891.61
42,2024-10-07,187772.9,84507.26,297415.2
42,2024-10-08,254407.0,148977.12,358834.78
42,2024-10-09,234275.94,126839.43,342993.2
42,2024-10-10,228194.08,120764.5,336865.75
42,2024-10-11,224832.38,120231.85,332072.53
42,2024-10-12,213204.64,107976.22,322692.78
42,2024-10-13,131808.94,27235.215,239388.31
42,2024-10-14,194433.86,91010.07,304684.6
42,2024-10-15,274110.22,170589.44,382069.97
42,2024-10-16,217448.6,111589.53,322769.47
42,2024-10-17,231369.03,129896.445,337103.7
42,2024-10-18,199667.14,96716.53,305167.34
42,2024-10-19,198274.52,95804.98,304625.38
42,2024-10-20,131843.1,27176.33,238962.25
42,2024-10-21,189381.84,85040.52,294170.0
42,2024-10-22,264781.12,163359.33,370003.22
42,2024-10-23,213982.28,111014.66,319368.72
42,2024-10-24,232279.8,126578.76,335767.28
42,2024-10-25,196569.3,97575.516,302631.12
42,2024-10-26,206978.92,105216.516,312165.47
42,2024-10-27,143584.98,45429.426,246827.53
42,2024-10-28,185321.39,85834.37,294747.9
42,2024-10-29,263615.94,161937.83,367996.53
42,2024-10-30,193959.06,90987.39,296471.94
42,2024-10-31,220069.64,116848.11,324458.1
42,2024-11-01,189373.72,88470.31,290371.47
42,2024-11-02,191238.9,88342.78,296943.78
42,2024-11-03,136099.19,34385.957,240690.83
42,2024-11-04,189455.8,87196.27,294172.12
42,2024-11-05,248903.28,148182.62,354597.5
42,2024-11-06,200796.28,102233.2,307856.06
42,2024-11-07,224880.94,120088.34,329794.12
42,2024-11-08,195172.8,91650.41,301724.44
42,2024-11-09,188883.38,84727.8,294237.5
42,2024-11-10,137331.69,35858.76,239150.58
42,2024-11-11,179671.62,76158.914,281878.78
