unique_id,ds,CES,CES-lo-95,CES-hi-95
42,2024-09-13,175110.25,85488.8,263944.72
42,2024-09-14,168934.12,79468.414,257510.33
42,2024-09-15,119579.42,30413.652,209520.66
42,2024-09-16,162984.23,70838.88,252267.34
42,2024-09-17,248431.64,158276.97,337655.66
42,2024-09-18,184648.69,93015.85,273677.38
42,2024-09-19,179879.83,90435.69,271089.16
42,2024-09-20,167327.03,76757.38,256226.5
42,2024-09-21,167358.86,78944.46,258199.3
42,2024-09-22,78942.87,-11024.126,169569.47
42,2024-09-23,129902.125,38966.297,217020.61
42,2024-09-24,232232.47,140555.92,323350.97
42,2024-09-25,193821.1,107302.58,283404.44
42,2024-09-26,190071.66,101103.625,279603.5
42,2024-09-27,168975.6,79976.9,258319.58
42,2024-09-28,115404.375,27249.408,206769.31
42,2024-09-29,105494.21,15556.976,194631.67
42,2024-09-30,184082.14,96195.64,271049.8
42,2024-10-01,253354.66,165398.31,344721.53
42,2024-10-02,185243.0,97360.43,276063.88
42,2024-10-03,191036.5,98635.08,278752.88
42,2024-10-04,190431.6,103239.41,278952.8
42,2024-10-05,151604.61,62513.43,239239.39
42,2024-10-06,85349.48,-2504.9521,173303.55
42,2024-10-07,159291.92,69898.484,247464.03
42,2024-10-08,234722.34,147147.03,321755.72
42,2024-10-09,190331.67,104903.39,280266.2
42,2024-10-10,169733.62,78860.836,258794.44
42,2024-10-11,179264.88,90845.33,267901.78
42,2024-10-12,170654.92,82657.19,260295.36
42,2024-10-13,87725.69,1230.2422,177168.39
42,2024-10-14,158758.56,71783.64,244378.28
42,2024-10-15,251617.72,159857.5,338333.25
42,2024-10-16,176516.25,89875.836,262268.28
42,2024-10-17,172986.06,84237.97,260245.89
42,2024-10-18,173839.31,87056.54,261155.39
42,2024-10-19,162247.84,74305.984,248320.1
42,2024-10-20,95379.484,7961.801,184376.12
42,2024-10-21,135740.55,48574.406,222218.55
42,2024-10-22,250273.3,162315.23,335265.38
42,2024-10-23,180409.61,94632.05,265913.1
42,2024-10-24,182003.36,96623.51,267246.38
42,2024-10-25,168995.17,82318.336,260468.97
42,2024-10-26,171375.64,83781.81,256389.14
42,2024-10-27,134788.17,49315.44,223688.39
42,2024-10-28,136692.25,48458.902,221468.97
42,2024-10-29,239457.02,154527.22,326595.78
42,2024-10-30,166029.22,80256.945,254252.02
42,2024-10-31,175373.5,89897.65,264006.38
42,2024-11-01,160811.33,73735.51,245606.9
42,2024-11-02,155003.19,69177.74,242417.31
42,2024-11-03,111185.8,27198.543,197278.12
42,2024-11-04,149959.23,62949.77,237571.61
42,2024-11-05,226397.69,140269.66,313668.03
42,2024-11-06,164078.9,78046.445,250314.56
42,2024-11-07,173302.95,87532.58,261028.22
42,2024-11-08,166299.31,79659.81,255945.84
42,2024-11-09,158584.6,70800.25,243161.97
42,2024-11-10,110977.05,23881.545,198580.34
42,2024-11-11,136509.25,49166.535,225032.17
