unique_id,ds,CES,CES-lo-95,CES-hi-95
42,2024-09-13,7415.0625,2313.8333,12829.606
42,2024-09-14,7196.201,1888.7833,12648.917
42,2024-09-15,5173.4355,535.05365,9836.383
42,2024-09-16,3667.44,-629.3591,7774.6187
42,2024-09-17,4036.2947,11.312026,7992.9927
42,2024-09-18,5141.109,1298.5223,9101.4375
42,2024-09-19,6474.5435,2599.5232,10227.744
42,2024-09-20,7658.0796,4009.6028,11416.945
42,2024-09-21,7229.3154,3389.63,11009.894
42,2024-09-22,5142.17,1420.3461,8942.299
42,2024-09-23,3328.5503,-453.4884,6931.5654
42,2024-09-24,3292.2349,-556.57465,7013.0713
42,2024-09-25,4238.9834,430.2949,7938.523
42,2024-09-26,5392.0503,1562.3293,9203.135
42,2024-09-27,7196.956,3341.656,10998.978
42,2024-09-28,6391.361,2629.269,10088.683
42,2024-09-29,5180.0747,1278.1488,8917.166
42,2024-09-30,3315.5344,-438.64883,7135.45
42,2024-10-01,3786.1306,22.24966,7639.9717
42,2024-10-02,4451.5977,682.4287,8084.2954
42,2024-10-03,5589.744,1907.7035,9341.09
42,2024-10-04,6706.142,2988.8926,10471.534
42,2024-10-05,7007.594,3262.5554,10733.886
42,2024-10-06,5287.354,1647.8403,9080.091
42,2024-10-07,3745.5598,-52.2972,7607.974
42,2024-10-08,2433.9666,-1296.4644,6220.051
42,2024-10-09,3380.306,-509.6047,7107.1553
42,2024-10-10,5666.328,2061.37,9468.766
42,2024-10-11,6940.1606,3157.2952,10823.938
42,2024-10-12,6903.191,3084.927,10661.846
42,2024-10-13,5454.3203,1628.8677,9178.299
42,2024-10-14,3612.7603,-242.08112,7331.3936
42,2024-10-15,3810.876,-15.091548,7568.9272
42,2024-10-16,4937.206,1168.374,8643.427
42,2024-10-17,6527.3843,2812.884,10290.287
42,2024-10-18,7449.7866,3651.3828,11167.866
42,2024-10-19,7013.177,3245.251,10794.914
42,2024-10-20,5502.055,1683.0801,9151.362
42,2024-10-21,2641.2493,-1084.0756,6411.3726
42,2024-10-22,3359.549,-374.75037,7143.156
42,2024-10-23,4539.37,886.33026,8323.228
42,2024-10-24,6075.2,2262.773,9865.547
42,2024-10-25,6845.884,3146.8499,10663.12
42,2024-10-26,6922.707,3189.7534,10599.647
42,2024-10-27,5599.4424,1831.2775,9350.6045
42,2024-10-28,2463.1304,-1378.1438,6273.3315
42,2024-10-29,3132.8838,-691.88635,7026.323
42,2024-10-30,4273.0957,486.9231,8133.951
42,2024-10-31,5907.176,2213.2563,9518.739
42,2024-11-01,6814.588,2877.9153,10500.933
42,2024-11-02,6936.255,2988.6636,10724.734
42,2024-11-03,5273.541,1551.2539,8894.777
42,2024-11-04,4157.5454,345.10995,7870.7725
42,2024-11-05,4330.2314,597.9814,8099.244
42,2024-11-06,4530.589,828.268,8241.3545
42,2024-11-07,5795.31,1983.2975,9550.874
42,2024-11-08,7475.2954,3752.671,11224.048
42,2024-11-09,6831.0205,3045.607,10494.017
42,2024-11-10,3906.9888,119.190796,7670.661
42,2024-11-11,3157.1274,-731.3162,6822.785
