,y,ds,unique_id,preds,upper,lower
1657,3911412,2024-09-13,42,3776211.25,3799521.25,1946380.5
1658,2706474,2024-09-14,42,2540784.0,4249897.5,1890181.0
1659,2161737,2024-09-15,42,2051275.25,3002563.0,1966795.25
1660,3821428,2024-09-16,42,3636351.25,2974424.0,2224869.25
1661,4189311,2024-09-17,42,3927725.75,3566421.5,1958035.375
1662,4232888,2024-09-18,42,4055930.5,4009110.0,1926299.25
1663,4255184,2024-09-19,42,4020965.5,3642644.5,1955157.5
1664,3933048,2024-09-20,42,3682971.25,3676388.0,1832245.25
1665,2744632,2024-09-21,42,2587404.0,3834486.0,1993000.25
1666,2131910,2024-09-22,42,2086240.25,4213779.0,1998535.375
1667,3898806,2024-09-23,42,3601386.5,3724109.25,2141363.0
1668,4323708,2024-09-24,42,3974345.5,4330761.5,2439027.75
1669,4335945,2024-09-25,42,4020965.5,3939380.75,3531456.75
1670,4295723,2024-09-26,42,4020965.5,4261937.0,2143007.75
1671,3945383,2024-09-27,42,3706281.25,3665920.0,2758168.5
1672,2557982,2024-09-28,42,2622368.75,4699590.0,2903038.0
1673,1959363,2024-09-29,42,2027965.125,4009310.5,3426562.0
1674,3849138,2024-09-30,42,3671316.25,4346212.5,3985031.5
1675,4179363,2024-10-01,42,3916070.75,3852125.75,2944374.0
1676,4068073,2024-10-02,42,4009310.5,4878055.5,3045810.25
1677,3627528,2024-10-03,42,3974345.5,4032620.5,2552439.0
1678,3506654,2024-10-04,42,3624696.5,4514763.5,3190433.0
1679,2710146,2024-10-05,42,2540784.0,3887039.25,2688341.5
1680,2065294,2024-10-06,42,2027965.125,5139805.0,2165381.0
1681,3847055,2024-10-07,42,3578076.5,4032620.5,1934725.5
1682,4256950,2024-10-08,42,3892761.0,4394370.0,1805905.5
1683,4313211,2024-10-09,42,3962690.5,3340060.75,1978433.125
1684,4329161,2024-10-10,42,3951035.75,5044623.0,2189176.0
1685,3868564,2024-10-11,42,3659661.25,3741246.0,1911415.625
1686,2587128,2024-10-12,42,2575749.0,4273976.0,1926299.25
1687,2153429,2024-10-13,42,1958035.375,3200406.5,1978433.125
1688,3066851,2024-10-14,42,3554766.5,3022014.75,2379539.25
1689,4284818,2024-10-15,42,3881106.0,3554766.5,1958035.375
1690,4357117,2024-10-16,42,3939380.75,4129503.5,1878141.625
1691,4309633,2024-10-17,42,3962690.75,3596093.0,1966795.25
1692,4030998,2024-10-18,42,3613041.5,3605002.0,1998813.0
1693,2752350,2024-10-19,42,2575749.0,3706281.25,1981345.375
1694,2176476,2024-10-20,42,1969690.375,4310094.5,2010574.75
1695,3842315,2024-10-21,42,3519801.75,3584455.25,2059898.125
1696,4218881,2024-10-22,42,3834486.0,4140398.25,2474720.75
1697,4276606,2024-10-23,42,3916070.75,3927725.75,3613041.5
1698,4304831,2024-10-24,42,3962690.75,4261936.5,2070771.5
1699,4019790,2024-10-25,42,3601386.5,3700833.5,2618514.5
1700,2828539,2024-10-26,42,2552439.0,4521124.5,2938731.0
1701,2208683,2024-10-27,42,1934725.5,4020965.5,3298357.0
1702,3983168,2024-10-28,42,3379942.25,4334173.0,4069307.0
1703,4378791,2024-10-29,42,3694626.0,3747385.0,2956012.0
1704,4417951,2024-10-30,42,3787866.25,4901851.0,2998219.5
1705,4340272,2024-10-31,42,3799521.25,3997655.5,2412579.25
1706,3780819,2024-11-01,42,3496492.0,4406409.5,3262669.0
1707,2817064,2024-11-02,42,2400924.25,3654282.25,2723255.0
1708,2602840,2024-11-03,42,1911415.625,5032725.5,1951222.25
1709,3949583,2024-11-04,42,3286702.25,4032620.5,1888105.75
1710,3640073,2024-11-05,42,3554766.5,4189700.5,1938338.625
1711,4113175,2024-11-06,42,3694626.25,3526266.0,2024984.5
1712,4231470,2024-11-07,42,3752901.25,5068419.0,2189176.0
1713,3970920,2024-11-08,42,3414907.0,3682971.25,1841485.625
1714,2768920,2024-11-09,42,2447544.25,3997070.75,1962417.25
1715,2115791,2024-11-10,42,1899760.625,3526266.0,2024984.5
1716,3271621,2024-11-11,42,3298357.0,3164787.25,2320050.75
