,y,ds,unique_id,preds,upper,lower
1657,37297,2024-09-13,42,35033.84375,38160.6953125,21293.16796875
1658,24473,2024-09-14,42,22331.515625,37774.8984375,20983.23828125
1659,24154,2024-09-15,42,22536.390625,38798.609375,22274.94921875
1660,35319,2024-09-16,42,32370.451171875,36058.2265625,21604.912109375
1661,38667,2024-09-17,42,35238.71875,37329.52734375,22315.296875
1662,39300,2024-09-18,42,36672.85546875,37672.52734375,20980.89453125
1663,38515,2024-09-19,42,36160.6640625,37876.76953125,20474.111328125
1664,36687,2024-09-20,42,35136.28125,37551.39453125,22731.84375
1665,23611,2024-09-21,42,22843.705078125,37877.26953125,22751.14453125
1666,23164,2024-09-22,42,22741.267578125,37193.03515625,20777.521484375
1667,34543,2024-09-23,42,33189.9609375,37345.6328125,22126.638671875
1668,37488,2024-09-24,42,36058.2265625,37132.10546875,23048.58203125
1669,37829,2024-09-25,42,36877.73046875,37465.06640625,21690.396484375
1670,37117,2024-09-26,42,36263.1015625,37448.515625,21150.984375
1671,35968,2024-09-27,42,34931.40625,38286.75390625,20893.98046875
1672,22142,2024-09-28,42,22741.267578125,37053.36328125,22045.392578125
1673,22340,2024-09-29,42,22638.828125,37843.70703125,23143.279296875
1674,34701,2024-09-30,42,33189.9609375,36988.6796875,21805.0234375
1675,38299,2024-10-01,42,35238.71875,38798.609375,21188.95703125
1676,38330,2024-10-02,42,36058.2265625,39208.09375,22331.515625
1677,35952,2024-10-03,42,36058.2265625,36263.1015625,22119.314453125
1678,35371,2024-10-04,42,35033.84375,36309.234375,22315.296875
1679,23775,2024-10-05,42,22536.390625,37425.8984375,20575.46875
1680,23677,2024-10-06,42,22741.267578125,36847.51171875,19764.61328125
1681,35754,2024-10-07,42,32985.08203125,37654.2734375,22623.990234375
1682,39100,2024-10-08,42,36058.2265625,37337.82421875,23366.0390625
1683,39877,2024-10-09,42,36263.1015625,36477.78515625,21497.53515625
1684,38911,2024-10-10,42,36058.2265625,38593.8671875,21806.11328125
1685,37027,2024-10-11,42,34931.40625,37646.40234375,22633.716796875
1686,23525,2024-10-12,42,22843.705078125,36950.4375,21791.75390625
1687,23354,2024-10-13,42,22843.705078125,37303.6796875,20333.5546875
1688,26827,2024-10-14,42,33087.5234375,37570.15625,20474.111328125
1689,38788,2024-10-15,42,35546.03515625,38065.796875,22109.775390625
1690,39579,2024-10-16,42,36263.1015625,37535.19921875,21806.111328125
1691,37093,2024-10-17,42,36263.1015625,37749.2578125,21497.91015625
1692,36732,2024-10-18,42,34828.96875,37670.91796875,21600.39453125
1693,24053,2024-10-19,42,22536.390625,38082.01171875,22331.515625
1694,24069,2024-10-20,42,22536.390625,36815.09765625,22119.314453125
1695,35133,2024-10-21,42,32882.640625,37773.84375,22212.4609375
1696,38656,2024-10-22,42,35443.59765625,37713.609375,22026.166015625
1697,39211,2024-10-23,42,36365.5390625,37670.91796875,19460.541015625
1698,36754,2024-10-24,42,35955.7890625,37860.03515625,22353.001953125
1699,36635,2024-10-25,42,35033.84375,37672.52734375,22956.109375
1700,24066,2024-10-26,42,22229.078125,36988.6796875,21908.970703125
1701,23888,2024-10-27,42,22741.267578125,38168.6796875,20674.662109375
1702,35666,2024-10-28,42,32370.451171875,36720.671875,22119.314453125
1703,38621,2024-10-29,42,35033.84375,37567.9921875,21082.25390625
1704,40468,2024-10-30,42,36263.1015625,38123.5390625,22479.306640625
1705,37639,2024-10-31,42,35546.03515625,38286.75390625,20879.5390625
1706,37306,2024-11-01,42,34316.77734375,37646.40234375,21942.85546875
1707,24481,2024-11-02,42,22229.078125,37365.4140625,22423.265625
1708,21758,2024-11-03,42,22638.828125,36514.953125,22316.87890625
1709,36716,2024-11-04,42,32268.013671875,36996.234375,21497.91015625
1710,36106,2024-11-05,42,34828.96875,38491.49609375,22126.638671875
1711,40044,2024-11-06,42,35750.9140625,36682.140625,22298.53515625
1712,39248,2024-11-07,42,35853.34765625,36435.8046875,22726.63671875
1713,38062,2024-11-08,42,34521.65625,37877.26953125,21661.87890625
1714,24198,2024-11-09,42,22536.390625,39208.09375,20676.82421875
1715,23972,2024-11-10,42,22741.267578125,37670.91796875,22558.07421875
1716,28032,2024-11-11,42,32780.203125,38057.8359375,33650.51953125
