,y,ds,unique_id,preds,upper,lower
1657,1442741,2024-09-13,42,1377980.125,1381488.625,660172.375
1658,913017,2024-09-14,42,854593.0,1512915.875,624165.0625
1659,705080,2024-09-15,42,711479.3125,1431056.75,835457.0
1660,1473843,2024-09-16,42,1447492.375,1508826.875,673545.6875
1661,1536675,2024-09-17,42,1492471.0,1379051.5,677287.9375
1662,1539412,2024-09-18,42,1496560.0,1435225.5,713788.5
1663,1547727,2024-09-19,42,1492471.0,1496560.0,645689.3125
1664,1471585,2024-09-20,42,1431136.5,1506285.5,709834.75
1665,950423,2024-09-21,42,870948.875,1500649.0,673108.5
1666,737715,2024-09-22,42,723746.25,1492471.0,591529.0
1667,1457916,2024-09-23,42,1463848.375,1324457.75,689437.25
1668,1500066,2024-09-24,42,1512915.875,1341047.0,786789.5625
1669,1487149,2024-09-25,42,1521093.75,1525182.75,657117.75
1670,1467648,2024-09-26,42,1504737.875,1398238.25,677287.9375
1671,1438524,2024-09-27,42,1451581.5,1504737.875,670523.5625
1672,863284,2024-09-28,42,903660.5,1406602.75,624994.125
1673,664367,2024-09-29,42,727835.25,1357603.25,652586.875
1674,1486507,2024-09-30,42,1508826.875,1451581.375,664272.8125
1675,1546620,2024-10-01,42,1500649.0,1529271.625,636403.5625
1676,1504660,2024-10-02,42,1517004.75,1377751.0,807067.625
1677,1333760,2024-10-03,42,1500649.0,1500649.0,678801.625
1678,1313232,2024-10-04,42,1451581.375,1338008.375,635402.75
1679,953356,2024-10-05,42,895482.625,1322449.5,657009.875
1680,737760,2024-10-06,42,731924.125,1508826.875,633272.25
1681,1478576,2024-10-07,42,1447492.375,1467937.25,713914.25
1682,1554839,2024-10-08,42,1517004.75,1467937.25,631856.9375
1683,1555422,2024-10-09,42,1508826.875,1480204.25,599688.0
1684,1534201,2024-10-10,42,1496560.0,1283452.75,632324.0625
1685,1435476,2024-10-11,42,1463848.25,1357603.25,766511.5
1686,940999,2024-10-12,42,895482.625,1525182.75,644796.8125
1687,744866,2024-10-13,42,723746.25,1337090.875,665121.125
1688,1076828,2024-10-14,42,1463848.25,1463848.25,612577.0625
1689,1487706,2024-10-15,42,1484293.125,1391113.0,624939.25
1690,1495298,2024-10-16,42,1476115.25,1435225.5,636169.625
1691,1496057,2024-10-17,42,1467937.25,1476115.25,656071.9375
1692,1443165,2024-10-18,42,1398424.875,1533360.625,607847.0
1693,930951,2024-10-19,42,887304.75,1320344.75,737887.125
1694,733271,2024-10-20,42,727835.1875,1504738.0,1125944.75
1695,1471964,2024-10-21,42,1447492.5,1313382.5,664098.375
1696,1528809,2024-10-22,42,1463848.25,1402314.75,669176.75
1697,1537563,2024-10-23,42,1504738.0,1521093.75,658106.4375
1698,1484054,2024-10-24,42,1496560.0,1447492.375,709834.75
1699,1376080,2024-10-25,42,1406602.75,1386158.0,652239.5
1700,960099,2024-10-26,42,879126.75,1455670.375,656078.125
1701,740417,2024-10-27,42,699212.4375,1488382.125,603767.5
1702,1473020,2024-10-28,42,1451581.375,1344960.0,774622.6875
1703,1514830,2024-10-29,42,1467937.25,1529271.75,614905.9375
1704,1533630,2024-10-30,42,1455670.375,1329799.75,644843.0
1705,1423508,2024-10-31,42,1451581.375,1467937.25,759299.1875
1706,1289813,2024-11-01,42,1337090.5,1341179.5,669289.875
1707,924179,2024-11-02,42,830059.25,1467937.25,664899.875
1708,647367,2024-11-03,42,707390.375,1484293.125,644378.25
1709,1450300,2024-11-04,42,1382069.0,1496560.0,628244.5625
1710,1320435,2024-11-05,42,1394336.0,1353148.375,737887.125
1711,1487111,2024-11-06,42,1373891.125,1451581.375,1173835.5
1712,1494538,2024-11-07,42,1390247.0,1504737.875,651800.25
1713,1418761,2024-11-08,42,1279845.0,1390085.25,697566.0
1714,912584,2024-11-09,42,854593.0,1525182.75,666384.5
1715,703730,2024-11-10,42,699212.5,1447492.5,677353.5625
1716,1106456,2024-11-11,42,1234866.5,1353148.375,669004.1875
