,y,ds,unique_id,preds,upper,lower
1657,254945,2024-09-13,42,256428.78125,269287.15625,131085.328125
1658,145099,2024-09-14,42,142695.90625,260101.40625,127557.0859375
1659,128174,2024-09-15,42,123622.6875,253450.875,128726.15625
1660,254618,2024-09-16,42,238061.96875,277145.84375,117573.03125
1661,268678,2024-09-17,42,255722.375,261994.4375,118981.09375
1662,281624,2024-09-18,42,255722.375,259366.34375,132877.890625
1663,272725,2024-09-19,42,255722.375,260574.4375,121225.578125
1664,270065,2024-09-20,42,250777.453125,254268.65625,123542.09375
1665,160150,2024-09-21,42,143402.3125,252746.828125,123542.09375
1666,131192,2024-09-22,42,120797.0234375,252764.296875,120470.578125
1667,250701,2024-09-23,42,238768.390625,270703.375,127311.578125
1668,270524,2024-09-24,42,246538.96875,256266.96875,126819.0546875
1669,267471,2024-09-25,42,252896.703125,259154.40625,115483.2734375
1670,264141,2024-09-26,42,250777.453125,274774.625,127154.765625
1671,258258,2024-09-27,42,250071.03125,260775.9375,128185.015625
1672,134408,2024-09-28,42,134218.921875,263635.375,129683.171875
1673,117572,2024-09-29,42,126448.3515625,260761.125,121412.0625
1674,256547,2024-09-30,42,238061.96875,264326.625,128266.28125
1675,247737,2024-10-01,42,251483.875,265049.0,124013.828125
1676,258854,2024-10-02,42,252896.703125,249642.8125,125897.0078125
1677,246586,2024-10-03,42,250777.453125,255137.546875,116218.6796875
1678,251723,2024-10-04,42,246538.96875,255153.8125,118277.0625
1679,142657,2024-10-05,42,135631.75,261899.21875,132171.09375
1680,111257,2024-10-06,42,122916.2734375,255722.375,121930.375
1681,250063,2024-10-07,42,239474.8125,264124.46875,230311.40625
1682,275934,2024-10-08,42,255722.375,255763.5625,116441.9765625
1683,275026,2024-10-09,42,255015.953125,255604.34375,118344.625
1684,272428,2024-10-10,42,252896.703125,260101.40625,128265.734375
1685,257460,2024-10-11,42,247951.78125,254858.921875,126152.0078125
1686,149093,2024-10-12,42,134925.34375,255722.375,114066.296875
1687,127619,2024-10-13,42,121503.4375,259083.09375,127154.765625
1688,240501,2024-10-14,42,240181.21875,247384.734375,126083.625
1689,270652,2024-10-15,42,250777.453125,262704.46875,128273.5703125
1690,279608,2024-10-16,42,252896.703125,254346.59375,122832.078125
1691,277906,2024-10-17,42,254309.53125,263414.46875,121923.4375
1692,272133,2024-10-18,42,249364.625,267674.53125,116927.328125
1693,156212,2024-10-19,42,132099.671875,249930.703125,123067.859375
1694,127452,2024-10-20,42,120090.609375,253023.125,111258.1171875
1695,247857,2024-10-21,42,231704.25,260761.125,117573.03125
1696,268294,2024-10-22,42,243006.875,262603.25,129343.90625
1697,257031,2024-10-23,42,242300.46875,256567.421875,128978.375
1698,260193,2024-10-24,42,243006.875,259864.40625,128978.375
1699,262815,2024-10-25,42,238768.390625,255842.34375,122832.078125
1700,143111,2024-10-26,42,132806.09375,268578.5,133195.421875
1701,120849,2024-10-27,42,111613.625,267169.375,128265.734375
1702,253923,2024-10-28,42,226052.90625,258657.421875,125809.921875
1703,272526,2024-10-29,42,240181.21875,264124.46875,113357.8125
1704,267007,2024-10-30,42,241594.046875,247818.59375,122209.859375
1705,257756,2024-10-31,42,240181.21875,255562.953125,135189.65625
1706,213535,2024-11-01,42,237355.5625,252764.296875,124044.7734375
1707,138761,2024-11-02,42,127861.1875,250348.015625,119992.03125
1708,132720,2024-11-03,42,113732.875,267161.21875,126856.765625
1709,243884,2024-11-04,42,226759.328125,261994.453125,118344.625
1710,244078,2024-11-05,42,237355.5625,262928.59375,122360.5625
1711,256311,2024-11-06,42,235236.3125,257237.328125,123276.6171875
1712,259228,2024-11-07,42,234529.90625,259254.4375,120470.578125
1713,245087,2024-11-08,42,230997.828125,257240.125,122916.2734375
1714,133329,2024-11-09,42,125741.9375,257274.21875,124749.578125
1715,105256,2024-11-10,42,110200.796875,253008.78125,124044.7734375
1716,111785,2024-11-11,42,224640.078125,261431.453125,121412.0625
