,y,ds,unique_id,preds,upper,lower
1657,219747,2024-09-13,42,204858.15625,230010.34375,121112.4375
1658,136864,2024-09-14,42,127881.1484375,230625.34375,104001.578125
1659,118303,2024-09-15,42,107395.3359375,220749.4375,102574.8203125
1660,215601,2024-09-16,42,204858.15625,224808.109375,103453.890625
1661,232809,2024-09-17,42,220377.71875,221833.5,96842.03125
1662,229697,2024-09-18,42,220998.5,220606.15625,99010.90625
1663,226944,2024-09-19,42,219136.140625,218571.234375,98392.46875
1664,215673,2024-09-20,42,207341.28125,238517.34375,116382.71875
1665,133469,2024-09-21,42,127260.3671875,221225.84375,117404.90625
1666,102752,2024-09-22,42,104912.203125,223245.34375,116499.875
1667,218237,2024-09-23,42,207341.28125,219193.9375,104001.578125
1668,240779,2024-09-24,42,216032.234375,221400.34375,105118.78125
1669,236202,2024-09-25,42,214169.890625,223687.25,102222.296875
1670,228971,2024-09-26,42,211686.75,218127.40625,99630.15625
1671,221034,2024-09-27,42,207341.28125,222015.34375,99010.90625
1672,132177,2024-09-28,42,120431.765625,229780.03125,106488.046875
1673,102805,2024-09-29,42,101808.296875,229866.46875,115144.6015625
1674,217897,2024-09-30,42,202375.03125,215648.6875,123584.1171875
1675,218836,2024-10-01,42,217273.796875,228780.34375,106477.8046875
1676,227124,2024-10-02,42,220377.71875,221684.796875,98430.0625
1677,217197,2024-10-03,42,215411.453125,217335.25,98249.375
1678,215328,2024-10-04,42,211065.96875,216890.125,103453.890625
1679,148928,2024-10-05,42,125398.0234375,221400.34375,94651.9375
1680,105906,2024-10-06,42,104912.203125,221062.078125,102128.890625
1681,220335,2024-10-07,42,204858.15625,235427.734375,119478.0
1682,235974,2024-10-08,42,221619.28125,224808.109375,118682.90625
1683,234694,2024-10-09,42,216032.234375,226613.28125,108444.03125
1684,233710,2024-10-10,42,214790.671875,221684.796875,107096.859375
1685,224122,2024-10-11,42,208582.84375,215467.046875,105118.7734375
1686,144234,2024-10-12,42,119190.203125,224305.1875,105737.125
1687,120235,2024-10-13,42,103670.640625,212344.140625,103049.859375
1688,225263,2024-10-14,42,197408.765625,225705.34375,100256.328125
1689,249266,2024-10-15,42,218515.359375,226666.46875,109601.734375
1690,236091,2024-10-16,42,216653.015625,233573.96875,119478.0
1691,237000,2024-10-17,42,206720.5,223084.875,122966.203125
1692,229999,2024-10-18,42,207341.28125,228165.34375,111430.265625
1693,147214,2024-10-19,42,116086.2890625,225421.0625,101993.125
1694,122789,2024-10-20,42,101187.515625,214169.890625,103882.0859375
1695,219983,2024-10-21,42,204237.375,214418.4375,103049.859375
1696,237771,2024-10-22,42,216653.015625,214494.625,92133.515625
1697,233881,2024-10-23,42,216032.234375,220170.34375,99633.6171875
1698,232459,2024-10-24,42,212928.328125,234191.90625,191481.15625
1699,223941,2024-10-25,42,202375.03125,232338.140625,120716.1171875
1700,148103,2024-10-26,42,122294.1171875,226320.34375,124202.0390625
1701,115917,2024-10-27,42,99945.953125,219816.65625,110647.09375
1702,229873,2024-10-28,42,201133.46875,220131.09375,111465.109375
1703,249585,2024-10-29,42,217273.796875,219136.140625,107764.46875
1704,246035,2024-10-30,42,218515.359375,212550.28125,105165.15625
1705,221856,2024-10-31,42,213549.09375,220170.34375,99633.6171875
1706,185052,2024-11-01,42,199891.90625,220439.359375,99637.9375
1707,134522,2024-11-02,42,117327.8515625,232956.0625,112668.375
1708,123028,2024-11-03,42,103049.859375,228042.3125,115551.1484375
1709,216014,2024-11-04,42,206099.71875,225090.34375,112162.1171875
1710,213516,2024-11-05,42,212307.53125,216703.109375,108954.0390625
1711,221461,2024-11-06,42,214790.671875,215467.03125,108136.109375
1712,226007,2024-11-07,42,210445.1875,227394.78125,102222.296875
1713,213611,2024-11-08,42,200512.6875,209451.90625,103992.5859375
1714,134651,2024-11-09,42,119190.203125,224475.34375,94029.21875
1715,103048,2024-11-10,42,101187.515625,224923.09375,102751.625
1716,206579,2024-11-11,42,198029.546875,217508.03125,114974.0625
