,y,ds,unique_id,preds,upper,lower
1657,6989,2024-09-13,42,6772.857421875,7214.8486328125,1621.270263671875
1658,3402,2024-09-14,42,3153.927734375,7886.14892578125,1418.42724609375
1659,2605,2024-09-15,42,2304.79345703125,10954.400390625,1722.8201904296875
1660,7734,2024-09-16,42,6894.16259765625,8955.57421875,2361.28173828125
1661,8503,2024-09-17,42,7541.1220703125,7820.94921875,2014.0009765625
1662,8603,2024-09-18,42,7763.51416015625,8369.259765625,1790.85546875
1663,8367,2024-09-19,42,7480.4697265625,9070.095703125,1599.3612060546875
1664,7029,2024-09-20,42,6631.33544921875,8008.8837890625,1658.4686279296875
1665,3736,2024-09-21,42,2870.88330078125,8085.21142578125,1555.5430908203125
1666,2560,2024-09-22,42,2304.79345703125,7386.46484375,2014.7125244140625
1667,7994,2024-09-23,42,6853.7275390625,8422.716796875,134.3142547607422
1668,8938,2024-09-24,42,7399.60009765625,9070.095703125,1892.67578125
1669,8904,2024-09-25,42,7359.1650390625,9413.66015625,2239.56640625
1670,8216,2024-09-26,42,7460.251953125,7911.51123046875,1965.470947265625
1671,6992,2024-09-27,42,6226.9853515625,8039.40283203125,1643.17919921875
1672,2928,2024-09-28,42,2870.883056640625,8472.015625,1686.997314453125
1673,2782,2024-09-29,42,2223.92333984375,7650.0302734375,156.699951171875
1674,7845,2024-09-30,42,6550.46533203125,8772.33984375,1686.997314453125
1675,9716,2024-10-01,42,7359.1650390625,7466.7958984375,1483.89306640625
1676,9543,2024-10-02,42,7318.72998046875,10710.96875,1675.524169921875
1677,7273,2024-10-03,42,7217.642578125,8795.244140625,2239.56640625
1678,6361,2024-10-04,42,6328.0732421875,9804.93359375,2135.326416015625
1679,4086,2024-10-05,42,2870.8828125,7993.59423828125,1916.94091796875
1680,2534,2024-10-06,42,2122.8359375,8680.72265625,1511.7249755859375
1681,8833,2024-10-07,42,6752.640625,7643.73681640625,1549.35888671875
1682,10259,2024-10-08,42,7318.72998046875,7833.2646484375,1730.8154296875
1683,9926,2024-10-09,42,7440.03466796875,7473.642578125,1708.906494140625
1684,9495,2024-10-10,42,7399.599609375,8617.4609375,179.08563232421875
1685,7977,2024-10-11,42,6348.29052734375,7223.0673828125,1674.2900390625
1686,3409,2024-10-12,42,2769.79541015625,9436.564453125,2336.938720703125
1687,3574,2024-10-13,42,2183.488525390625,8069.5927734375,1868.41064453125
1688,5124,2024-10-14,42,6489.81298828125,8697.8955078125,2102.16259765625
1689,9369,2024-10-15,42,7076.1201171875,11148.076171875,1708.906494140625
1690,9783,2024-10-16,42,7116.5546875,7833.2646484375,1768.469970703125
1691,9362,2024-10-17,42,7136.7724609375,8153.9248046875,1665.08837890625
1692,8258,2024-10-18,42,6045.0283203125,7376.58203125,1483.89306640625
1693,3588,2024-10-19,42,2608.0556640625,9469.470703125,1483.89306640625
1694,2606,2024-10-20,42,2244.14111328125,8749.435546875,2093.5078125
1695,8975,2024-10-21,42,6449.3779296875,8153.064453125,2223.92333984375
1696,9628,2024-10-22,42,7055.90234375,7843.4423828125,1989.7359619140625
1697,9629,2024-10-23,42,7055.90234375,8222.6376953125,1774.633544921875
1698,9653,2024-10-24,42,7197.4248046875,8354.021484375,1680.2906494140625
1699,8083,2024-10-25,42,6146.11572265625,8215.896484375,1636.646728515625
1700,3423,2024-10-26,42,2769.79541015625,11371.9326171875,1796.542724609375
1701,2556,2024-10-27,42,2244.14111328125,8033.22705078125,1462.071044921875
1702,8936,2024-10-28,42,6489.81298828125,10783.998046875,1819.880615234375
1703,9803,2024-10-29,42,7076.11962890625,9184.6171875,2458.654296875
1704,9878,2024-10-30,42,7055.90234375,7514.80615234375,1989.736083984375
1705,8741,2024-10-31,42,7258.07763671875,8675.986328125,2093.5078125
1706,6363,2024-11-01,42,5984.3759765625,8283.224609375,1818.45166015625
1707,3273,2024-11-02,42,2688.92578125,7317.625,1745.7564697265625
1708,4095,2024-11-03,42,2244.14111328125,8016.49853515625,1993.72412109375
1709,7765,2024-11-04,42,6186.55078125,7764.0478515625,1462.071044921875
1710,6691,2024-11-05,42,6793.0751953125,9153.009765625,1396.605224609375
1711,8324,2024-11-06,42,6853.7275390625,9648.234375,2385.625
1712,8176,2024-11-07,42,6954.81494140625,7743.296875,2611.08837890625
1713,7038,2024-11-08,42,5761.9833984375,8084.44189453125,1989.736083984375
1714,3269,2024-11-09,42,2628.273193359375,8245.5419921875,1818.45166015625
1715,2320,2024-11-10,42,2102.61865234375,8000.037109375,1969.941162109375
1716,5531,2024-11-11,42,6287.6376953125,7970.68994140625,1658.4686279296875
