,y,ds,unique_id,preds,upper,lower
1657,3911412,2024-09-13,42,3834486.0,3927725.75,1971531.75
1658,2706474,2024-09-14,42,2599059.0,3995857.25,2215439.5
1659,2161737,2024-09-15,42,1981345.375,3861882.75,2040002.875
1660,3821428,2024-09-16,42,3589731.5,3929490.0,2155244.0
1661,4189311,2024-09-17,42,4032620.5,4003906.25,1844327.75
1662,4232888,2024-09-18,42,4102550.25,4022771.5,2016820.875
1663,4255184,2024-09-19,42,4044275.5,4044275.5,1933894.625
1664,3933048,2024-09-20,42,3741246.0,3960806.0,1991638.5
1665,2744632,2024-09-21,42,2599059.0,4162694.0,1914626.875
1666,2131910,2024-09-22,42,1981345.375,4151034.0,1961553.5
1667,3898806,2024-09-23,42,3589731.5,3861882.75,2087918.25
1668,4323708,2024-09-24,42,4020965.5,3754586.75,2028411.875
1669,4335945,2024-09-25,42,4067585.25,4044275.5,2017215.75
1670,4295723,2024-09-26,42,3986000.5,3855651.75,1937124.125
1671,3945383,2024-09-27,42,3671316.25,4220995.0,1993639.0
1672,2557982,2024-09-28,42,2587404.0,3910792.25,2331046.25
1673,1959363,2024-09-29,42,1934725.5,3727989.25,1972999.5
1674,3849138,2024-09-30,42,3578076.5,3822831.0,1961553.5
1675,4179363,2024-10-01,42,4020965.5,3939380.75,2110497.5
1676,4068073,2024-10-02,42,4032620.5,3908271.75,2063184.75
1677,3627528,2024-10-03,42,3939380.75,3999451.0,2097957.5
1678,3506654,2024-10-04,42,3648006.25,3817579.25,1876450.75
1679,2710146,2024-10-05,42,2540784.0,3917829.5,1960323.25
1680,2065294,2024-10-06,42,1946380.5,4032620.5,1980494.375
1681,3847055,2024-10-07,42,3461527.0,3984173.5,1968344.5
1682,4256950,2024-10-08,42,3904416.0,3815493.75,1996348.75
1683,4313211,2024-10-09,42,3997655.5,3906169.5,1959934.5
1684,4329161,2024-10-10,42,3939380.75,3815493.75,2273740.5
1685,3868564,2024-10-11,42,3554766.5,3777907.25,2086366.5
1686,2587128,2024-10-12,42,2505819.0,4009310.5,1947254.625
1687,2153429,2024-10-13,42,1911415.625,3727130.0,1993000.25
1688,3066851,2024-10-14,42,3449872.0,4151034.0,1980494.375
1689,4284818,2024-10-15,42,3834486.0,3806039.0,2015444.25
1690,4357117,2024-10-16,42,3857796.0,3757507.75,1910109.5
1691,4309633,2024-10-17,42,3857796.0,3759481.75,1901948.25
1692,4030998,2024-10-18,42,3613041.5,3916070.75,2087504.25
1693,2752350,2024-10-19,42,2459199.25,3964096.25,2111117.25
1694,2176476,2024-10-20,42,1911415.625,3871189.0,2063184.75
1695,3842315,2024-10-21,42,3426562.0,3843968.0,1911415.625
1696,4218881,2024-10-22,42,3752901.0,3969348.25,1935684.5
1697,4276606,2024-10-23,42,3811176.25,3951035.75,2003794.25
1698,4304831,2024-10-24,42,3834486.0,3843968.0,1921756.5
1699,4019790,2024-10-25,42,3449872.0,3712940.5,1914626.875
1700,2828539,2024-10-26,42,2412579.25,4022771.5,1925142.75
1701,2208683,2024-10-27,42,1841485.625,3986000.5,2297061.0
1702,3983168,2024-10-28,42,3310012.0,3773865.5,2028411.75
1703,4378791,2024-10-29,42,3671316.25,3974345.5,2075517.0
1704,4417951,2024-10-30,42,3729591.0,3855652.0,1902325.5
1705,4340272,2024-10-31,42,3776211.25,3987791.0,1898944.75
1706,3780819,2024-11-01,42,3449872.0,3992267.0,1875644.75
1707,2817064,2024-11-02,42,2377614.5,3677912.5,2003285.5
1708,2602840,2024-11-03,42,1853140.625,3899153.0,1926301.375
1709,3949583,2024-11-04,42,3240082.25,4162694.0,2066636.75
1710,3640073,2024-11-05,42,3682971.25,3771320.0,2180714.5
1711,4113175,2024-11-06,42,3682971.0,3856139.25,2190684.75
1712,4231470,2024-11-07,42,3613041.5,4102550.25,2040536.25
1713,3970920,2024-11-08,42,3356632.25,3925754.5,1913925.0
1714,2768920,2024-11-09,42,2272719.75,4140216.75,2015444.25
1715,2115791,2024-11-10,42,1841485.625,3855651.75,1979991.5
1716,3271621,2024-11-11,42,3181807.5,3769105.0,1972999.5
